animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,processed_time
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2026-04-14 05:40:01.331063
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-14 05:40:01.331063
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-14 05:40:01.331063
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,2026-04-14 05:40:01.331063
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,2026-04-14 05:40:01.331063
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2026-04-14 05:40:01.331063
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,2026-04-14 05:40:01.331063
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,2026-04-14 05:40:01.331063
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,2026-04-14 05:40:01.331063
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-14 05:40:01.331063
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2026-04-14 05:40:01.331063
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2026-04-14 05:40:01.331063
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-14 05:40:01.331063
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-14 05:40:01.331063
