stage_is_copy,csv_size_mb,row_count,column_count,size_hint_ord,transform_count,agg_count,has_filter,has_join,has_groupby,has_aggregation,has_distinct,has_sort,stage_index,n_stages,is_final_stage,rec_workers,rec_diu,rec_memory_gb,rec_shuffle_partitions,rec_node_type
0,1.520368,9383,7,0,3,0,1,0,0,0,0,1,1,6,0,0,0,4.0,8,Standard_D4s_v3
0,1.520368,9383,7,0,4,0,0,1,0,0,0,0,2,6,0,1,0,4.0,8,Standard_D4s_v3
0,1.520368,9383,7,0,6,0,1,0,0,0,0,1,3,6,0,0,0,4.0,8,Standard_D4s_v3
0,1.520368,9383,7,0,4,0,1,0,0,0,0,0,4,6,0,0,0,4.0,8,Standard_D4s_v3
0,1.520368,9383,7,0,1,2,0,0,1,1,0,0,5,6,1,1,0,4.0,8,Standard_D4s_v3
1,27.238537,209534,17,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,27.238537,209534,17,1,3,0,1,0,0,0,1,0,1,4,0,1,0,4.03,8,Standard_D4s_v3
0,27.238537,209534,17,1,2,0,0,0,0,0,0,0,2,4,0,1,0,4.03,8,Standard_D4s_v3
0,27.238537,209534,17,1,2,1,0,0,1,1,0,0,3,4,1,1,0,4.05,8,Standard_D4s_v3
1,19.79271,177072,15,1,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,19.79271,177072,15,1,6,0,0,0,0,0,0,0,1,5,0,1,0,4.03,8,Standard_D4s_v3
0,19.79271,177072,15,1,8,0,1,0,0,0,0,0,2,5,0,1,0,4.05,8,Standard_D4s_v3
0,19.79271,177072,15,1,4,0,0,0,0,0,0,0,3,5,0,1,0,4.04,8,Standard_D4s_v3
0,19.79271,177072,15,1,6,0,1,0,0,0,0,0,4,5,1,1,0,4.03,8,Standard_D4s_v3
1,761.403731,5308620,6,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4.5,8,Standard_D4s_v3
0,761.403731,5308620,6,2,3,0,1,0,0,0,0,0,1,3,0,4,0,4.75,8,Standard_D4s_v3
0,761.403731,5308620,6,2,0,0,1,0,0,0,0,0,2,3,1,4,0,4.63,8,Standard_D4s_v3
1,8874.728096,98775860,27,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,8874.728096,98775860,27,2,4,1,0,1,1,1,0,0,1,2,1,4,0,36.5,200,Standard_D4s_v3
1,7.832676,45297,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,7.832676,45297,6,0,6,0,0,0,0,0,0,0,1,4,0,1,0,4.01,8,Standard_D4s_v3
0,7.832676,45297,6,0,4,0,1,0,0,0,1,0,2,4,0,1,0,4.01,8,Standard_D4s_v3
0,7.832676,45297,6,0,6,0,0,0,0,0,0,0,3,4,1,1,0,4.01,8,Standard_D4s_v3
1,6701.280227,40863292,27,2,0,0,0,0,0,0,0,0,0,3,0,0,8,12.0,8,Standard_D4s_v3
0,6701.280227,40863292,27,2,2,0,1,0,0,0,0,0,1,3,0,4,0,14.19,64,Standard_D4s_v3
0,6701.280227,40863292,27,2,1,0,0,0,0,0,0,0,2,3,1,4,0,14.46,64,Standard_D4s_v3
1,148.943829,1122497,23,2,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,148.943829,1122497,23,2,3,0,0,0,0,0,0,0,1,3,0,2,0,4.14,8,Standard_D4s_v3
0,148.943829,1122497,23,2,2,0,0,0,0,0,0,0,2,3,1,2,0,4.14,8,Standard_D4s_v3
1,1.148853,8925,18,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,1.148853,8925,18,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4.0,8,Standard_D4s_v3
0,1.148853,8925,18,0,3,0,0,0,0,0,0,0,2,3,1,0,0,4.0,8,Standard_D4s_v3
1,0.797899,8410,24,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,0.797899,8410,24,0,6,0,1,0,0,0,1,0,1,4,0,0,0,4.0,8,Standard_D4s_v3
0,0.797899,8410,24,0,1,0,0,0,0,0,0,0,2,4,0,0,0,4.0,8,Standard_D4s_v3
0,0.797899,8410,24,0,1,1,0,0,1,1,0,0,3,4,1,1,0,4.0,8,Standard_D4s_v3
1,16.942856,112775,22,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,16.942856,112775,22,1,4,0,1,0,0,0,0,0,1,4,0,1,0,4.02,8,Standard_D4s_v3
0,16.942856,112775,22,1,5,0,0,0,0,0,0,0,2,4,0,1,0,4.02,8,Standard_D4s_v3
0,16.942856,112775,22,1,3,0,0,0,0,0,0,0,3,4,1,1,0,4.02,8,Standard_D4s_v3
1,7.671922,41212,20,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,7.671922,41212,20,0,1,3,0,0,1,1,0,0,1,2,1,1,0,4.02,8,Standard_D4s_v3
1,59.369577,427650,20,1,0,0,0,0,0,0,0,0,0,6,0,0,2,3.0,8,Standard_D4s_v3
0,59.369577,427650,20,1,2,0,0,0,0,0,0,0,1,6,0,1,0,4.07,8,Standard_D4s_v3
0,59.369577,427650,20,1,5,0,1,0,0,0,0,0,2,6,0,1,0,4.1,8,Standard_D4s_v3
0,59.369577,427650,20,1,2,0,0,0,0,0,0,0,3,6,0,1,0,4.06,8,Standard_D4s_v3
0,59.369577,427650,20,1,1,0,1,0,0,0,0,0,4,6,0,1,0,4.06,8,Standard_D4s_v3
0,59.369577,427650,20,1,5,0,0,1,0,0,0,0,5,6,1,2,0,4.13,8,Standard_D4s_v3
1,11905.062863,79573099,6,2,0,0,0,0,0,0,0,0,0,5,0,0,8,12.0,8,Standard_D4s_v3
0,11905.062863,79573099,6,2,3,0,0,0,0,0,0,0,1,5,0,4,0,18.65,128,Standard_D4s_v3
0,11905.062863,79573099,6,2,5,0,0,0,0,0,0,0,2,5,0,4,0,20.05,128,Standard_D4s_v3
0,11905.062863,79573099,6,2,3,0,1,0,0,0,0,0,3,5,0,4,0,18.2,128,Standard_D4s_v3
0,11905.062863,79573099,6,2,5,3,0,0,1,1,0,0,4,5,1,4,0,33.49,200,Standard_D4s_v3
1,104.204813,903325,7,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,104.204813,903325,7,1,1,0,0,0,0,0,0,0,1,2,1,2,0,4.1,8,Standard_D4s_v3
1,40.798871,375036,22,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,40.798871,375036,22,1,4,0,0,1,0,0,0,0,1,2,1,2,0,4.07,8,Standard_D4s_v3
1,5407.393793,90967594,16,2,0,0,0,0,0,0,0,0,0,4,0,0,8,12.0,8,Standard_D4s_v3
0,5407.393793,90967594,16,2,4,0,0,0,0,0,0,0,1,4,0,4,0,10.04,32,Standard_D4s_v3
0,5407.393793,90967594,16,2,1,0,1,0,0,0,0,0,2,4,0,4,0,8.08,32,Standard_D4s_v3
0,5407.393793,90967594,16,2,5,0,0,0,0,0,0,0,3,4,1,4,0,10.95,64,Standard_D4s_v3
1,371.01044,2766444,14,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,371.01044,2766444,14,2,0,1,0,0,1,1,0,0,1,2,1,4,0,4.95,16,Standard_D4s_v3
1,3.124717,33259,21,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,3.124717,33259,21,0,7,0,0,1,0,0,0,0,1,4,0,1,0,4.01,8,Standard_D4s_v3
0,3.124717,33259,21,0,3,0,0,0,0,0,0,0,2,4,0,0,0,4.0,8,Standard_D4s_v3
0,3.124717,33259,21,0,4,0,0,0,0,0,0,0,3,4,1,0,0,4.0,8,Standard_D4s_v3
1,107.804676,641556,13,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,107.804676,641556,13,1,3,0,0,0,0,0,0,0,1,3,0,2,0,4.09,8,Standard_D4s_v3
0,107.804676,641556,13,1,2,0,1,0,0,0,0,1,2,3,1,2,0,4.1,8,Standard_D4s_v3
1,3.165748,34726,19,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,3.165748,34726,19,0,2,0,0,0,0,0,0,0,1,2,1,1,0,4.01,8,Standard_D4s_v3
1,146.891885,913764,15,1,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,146.891885,913764,15,1,2,0,1,0,0,0,0,0,1,5,0,2,0,4.19,8,Standard_D4s_v3
0,146.891885,913764,15,1,6,0,0,0,0,0,0,0,2,5,0,2,0,4.18,8,Standard_D4s_v3
0,146.891885,913764,15,1,2,0,1,0,0,0,0,0,3,5,0,2,0,4.18,8,Standard_D4s_v3
0,146.891885,913764,15,1,5,0,0,0,0,0,0,0,4,5,1,2,0,4.16,8,Standard_D4s_v3
1,5.034032,30861,17,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,5.034032,30861,17,0,2,0,1,0,0,0,0,0,1,2,1,0,0,4.01,8,Standard_D4s_v3
1,54.515698,392259,16,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,54.515698,392259,16,1,2,0,0,1,0,0,0,0,1,3,0,2,0,4.1,8,Standard_D4s_v3
0,54.515698,392259,16,1,5,3,0,0,1,1,0,1,2,3,1,4,0,4.11,8,Standard_D4s_v3
1,221.523273,1571447,12,2,0,0,0,0,0,0,0,0,0,6,0,0,2,3.0,8,Standard_D4s_v3
0,221.523273,1571447,12,2,6,0,1,0,0,0,0,1,1,6,0,4,0,4.24,8,Standard_D4s_v3
0,221.523273,1571447,12,2,3,0,0,0,0,0,1,0,2,6,0,4,0,4.34,8,Standard_D4s_v3
0,221.523273,1571447,12,2,2,0,0,0,0,0,0,0,3,6,0,3,0,4.29,8,Standard_D4s_v3
0,221.523273,1571447,12,2,1,0,0,0,0,0,0,0,4,6,0,3,0,4.21,8,Standard_D4s_v3
0,221.523273,1571447,12,2,1,0,0,0,0,0,0,1,5,6,1,4,0,4.24,8,Standard_D4s_v3
1,576.485792,4474591,28,2,0,0,0,0,0,0,0,0,0,6,0,0,3,4.5,8,Standard_D4s_v3
0,576.485792,4474591,28,2,5,0,0,0,0,0,0,1,1,6,0,4,0,4.6,8,Standard_D4s_v3
0,576.485792,4474591,28,2,3,0,0,0,0,0,0,0,2,6,0,4,0,4.72,8,Standard_D4s_v3
0,576.485792,4474591,28,2,5,0,0,0,0,0,1,0,3,6,0,4,0,4.86,8,Standard_D4s_v3
0,576.485792,4474591,28,2,1,0,0,0,0,0,0,0,4,6,0,4,0,4.67,8,Standard_D4s_v3
0,576.485792,4474591,28,2,1,2,0,0,1,1,0,0,5,6,1,4,0,5.01,16,Standard_D4s_v3
1,207.691312,1459862,12,2,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,207.691312,1459862,12,2,3,0,1,1,0,0,0,0,1,5,0,4,0,4.36,8,Standard_D4s_v3
0,207.691312,1459862,12,2,5,0,0,0,0,0,1,0,2,5,0,4,0,4.33,8,Standard_D4s_v3
0,207.691312,1459862,12,2,1,0,0,0,0,0,0,1,3,5,0,4,0,4.23,8,Standard_D4s_v3
0,207.691312,1459862,12,2,4,0,0,0,0,0,1,0,4,5,1,4,0,4.36,8,Standard_D4s_v3
1,113.069895,1653127,12,2,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,113.069895,1653127,12,2,2,0,0,0,0,0,0,0,1,5,0,3,0,4.12,8,Standard_D4s_v3
0,113.069895,1653127,12,2,2,0,1,0,0,0,0,0,2,5,0,3,0,4.11,8,Standard_D4s_v3
0,113.069895,1653127,12,2,1,0,0,0,0,0,0,0,3,5,0,3,0,4.13,8,Standard_D4s_v3
0,113.069895,1653127,12,2,5,0,0,0,0,0,0,0,4,5,1,4,0,4.12,8,Standard_D4s_v3
1,5.285362,41127,10,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,5.285362,41127,10,0,5,0,1,0,0,0,0,0,1,4,0,0,0,4.01,8,Standard_D4s_v3
0,5.285362,41127,10,0,7,0,1,0,0,0,0,0,2,4,0,1,0,4.01,8,Standard_D4s_v3
0,5.285362,41127,10,0,1,0,0,0,0,0,0,0,3,4,1,0,0,4.01,8,Standard_D4s_v3
1,147.986488,3879377,18,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,147.986488,3879377,18,2,0,0,1,0,0,0,0,0,1,2,1,4,0,4.23,8,Standard_D4s_v3
1,2071.718164,15988683,7,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,2071.718164,15988683,7,2,1,0,0,0,0,0,0,0,1,2,1,4,0,6.03,16,Standard_D4s_v3
1,369.778935,5932834,17,2,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,369.778935,5932834,17,2,1,0,0,0,0,0,0,0,1,5,0,4,0,4.47,8,Standard_D4s_v3
0,369.778935,5932834,17,2,3,0,0,0,0,0,0,0,2,5,0,4,0,4.33,8,Standard_D4s_v3
0,369.778935,5932834,17,2,2,0,0,0,0,0,0,0,3,5,0,4,0,4.49,8,Standard_D4s_v3
0,369.778935,5932834,17,2,6,0,0,0,0,0,1,0,4,5,1,4,0,4.63,8,Standard_D4s_v3
1,263.448645,2191169,22,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,263.448645,2191169,22,2,1,0,1,0,0,0,0,0,1,2,1,4,0,4.24,8,Standard_D4s_v3
1,14590.866063,98465080,27,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,14590.866063,98465080,27,2,1,0,1,0,0,0,0,0,1,2,1,4,0,17.77,128,Standard_D4s_v3
1,1.647382,14960,17,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,1.647382,14960,17,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4.0,8,Standard_D4s_v3
0,1.647382,14960,17,0,2,0,1,0,0,0,0,0,2,4,0,0,0,4.0,8,Standard_D4s_v3
0,1.647382,14960,17,0,4,0,0,0,0,0,0,0,3,4,1,0,0,4.0,8,Standard_D4s_v3
1,0.422197,3585,20,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,0.422197,3585,20,0,3,0,0,0,0,0,0,0,1,4,0,0,0,4.0,8,Standard_D4s_v3
0,0.422197,3585,20,0,4,0,0,0,0,0,0,0,2,4,0,0,0,4.0,8,Standard_D4s_v3
0,0.422197,3585,20,0,7,1,1,0,1,1,0,0,3,4,1,1,0,4.0,8,Standard_D4s_v3
1,16.079815,132168,18,1,0,0,0,0,0,0,0,0,0,5,0,0,2,3.0,8,Standard_D4s_v3
0,16.079815,132168,18,1,4,0,0,0,0,0,0,0,1,5,0,1,0,4.02,8,Standard_D4s_v3
0,16.079815,132168,18,1,5,0,1,0,0,0,0,0,2,5,0,1,0,4.02,8,Standard_D4s_v3
0,16.079815,132168,18,1,1,0,0,0,0,0,0,1,3,5,0,1,0,4.02,8,Standard_D4s_v3
0,16.079815,132168,18,1,5,0,0,0,0,0,0,0,4,5,1,1,0,4.02,8,Standard_D4s_v3
1,6.787903,36650,8,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,6.787903,36650,8,0,3,0,0,0,0,0,0,0,1,3,0,0,0,4.01,8,Standard_D4s_v3
0,6.787903,36650,8,0,2,1,0,0,1,1,1,0,2,3,1,1,0,4.01,8,Standard_D4s_v3
1,121.580158,960286,25,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,121.580158,960286,25,1,0,0,1,0,0,0,0,0,1,3,0,2,0,4.11,8,Standard_D4s_v3
0,121.580158,960286,25,1,1,1,1,0,1,1,0,1,2,3,1,4,0,4.24,8,Standard_D4s_v3
1,491.77035,4155955,23,2,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,491.77035,4155955,23,2,2,0,0,0,0,0,0,0,1,4,0,4,0,4.52,8,Standard_D4s_v3
0,491.77035,4155955,23,2,0,0,0,0,0,0,0,0,2,4,0,4,0,4.46,8,Standard_D4s_v3
0,491.77035,4155955,23,2,4,0,0,0,0,0,0,0,3,4,1,4,0,4.69,8,Standard_D4s_v3
1,44.688589,456734,7,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,44.688589,456734,7,1,2,0,1,0,0,0,0,0,1,4,0,1,0,4.05,8,Standard_D4s_v3
0,44.688589,456734,7,1,4,0,0,0,0,0,0,0,2,4,0,1,0,4.07,8,Standard_D4s_v3
0,44.688589,456734,7,1,3,0,0,0,0,0,0,0,3,4,1,1,0,4.05,8,Standard_D4s_v3
1,75.646247,533995,19,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,75.646247,533995,19,1,0,0,0,0,0,0,0,0,1,4,0,1,0,4.08,8,Standard_D4s_v3
0,75.646247,533995,19,1,0,0,0,0,0,0,0,0,2,4,0,1,0,4.06,8,Standard_D4s_v3
0,75.646247,533995,19,1,0,3,1,0,1,1,0,0,3,4,1,4,0,4.17,8,Standard_D4s_v3
1,892.328612,6321371,17,2,0,0,0,0,0,0,0,0,0,4,0,0,4,6.0,8,Standard_D4s_v3
0,892.328612,6321371,17,2,2,0,1,0,0,0,0,0,1,4,0,4,0,4.83,8,Standard_D4s_v3
0,892.328612,6321371,17,2,1,0,0,0,0,0,0,0,2,4,0,4,0,4.88,8,Standard_D4s_v3
0,892.328612,6321371,17,2,5,0,1,1,0,0,1,0,3,4,1,4,0,6.09,16,Standard_D4s_v3
1,44.26337,305404,20,1,0,0,0,0,0,0,0,0,0,6,0,0,2,3.0,8,Standard_D4s_v3
0,44.26337,305404,20,1,3,0,0,0,0,0,0,1,1,6,0,2,0,4.08,8,Standard_D4s_v3
0,44.26337,305404,20,1,3,0,0,0,0,0,0,0,2,6,0,1,0,4.1,8,Standard_D4s_v3
0,44.26337,305404,20,1,5,0,0,1,0,0,0,0,3,6,0,3,0,4.12,8,Standard_D4s_v3
0,44.26337,305404,20,1,6,0,0,0,0,0,0,0,4,6,0,1,0,4.12,8,Standard_D4s_v3
0,44.26337,305404,20,1,4,1,0,0,1,1,0,0,5,6,1,3,0,4.14,8,Standard_D4s_v3
1,24.547269,243506,16,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,24.547269,243506,16,1,5,0,0,0,0,0,0,0,1,4,0,1,0,4.03,8,Standard_D4s_v3
0,24.547269,243506,16,1,2,0,0,0,0,0,0,0,2,4,0,1,0,4.03,8,Standard_D4s_v3
0,24.547269,243506,16,1,4,2,1,0,1,1,0,0,3,4,1,2,0,4.06,8,Standard_D4s_v3
1,10202.428351,60133637,8,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,10202.428351,60133637,8,2,2,0,0,0,0,0,0,0,1,2,1,4,0,16.11,64,Standard_D4s_v3
1,10518.509748,79849336,8,2,0,0,0,0,0,0,0,0,0,3,0,0,8,12.0,8,Standard_D4s_v3
0,10518.509748,79849336,8,2,3,0,1,1,0,0,0,0,1,3,0,4,0,21.04,200,Standard_D4s_v3
0,10518.509748,79849336,8,2,2,0,0,0,0,0,0,0,2,3,1,4,0,19.69,128,Standard_D4s_v3
1,2843.920896,26966318,12,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,2843.920896,26966318,12,2,5,0,0,0,0,0,0,0,1,2,1,4,0,8.28,32,Standard_D4s_v3
1,6393.784974,51526439,17,2,0,0,0,0,0,0,0,0,0,5,0,0,8,12.0,8,Standard_D4s_v3
0,6393.784974,51526439,17,2,2,0,0,0,0,0,0,0,1,5,0,4,0,11.72,64,Standard_D4s_v3
0,6393.784974,51526439,17,2,1,0,0,0,0,0,0,0,2,5,0,4,0,8.94,32,Standard_D4s_v3
0,6393.784974,51526439,17,2,4,0,1,0,0,0,0,0,3,5,0,4,0,11.0,64,Standard_D4s_v3
0,6393.784974,51526439,17,2,4,0,0,1,0,0,1,0,4,5,1,4,0,15.56,128,Standard_D4s_v3
1,2.2995,19981,25,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3.0,8,Standard_D4s_v3
0,2.2995,19981,25,0,4,0,0,0,0,0,0,0,1,4,0,0,0,4.0,8,Standard_D4s_v3
0,2.2995,19981,25,0,2,0,0,0,0,0,0,0,2,4,0,0,0,4.0,8,Standard_D4s_v3
0,2.2995,19981,25,0,2,2,1,0,1,1,0,0,3,4,1,1,0,4.01,8,Standard_D4s_v3
1,6896.026455,52166698,13,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
0,6896.026455,52166698,13,2,6,0,0,0,0,0,0,0,1,2,1,4,0,12.16,64,Standard_D4s_v3
1,3.70041,27012,18,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,3.70041,27012,18,0,4,0,0,0,0,0,0,0,1,3,0,0,0,4.0,8,Standard_D4s_v3
0,3.70041,27012,18,0,1,1,1,0,1,1,0,0,2,3,1,1,0,4.01,8,Standard_D4s_v3
1,100.584669,941473,6,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3.0,8,Standard_D4s_v3
0,100.584669,941473,6,1,2,0,1,0,0,0,0,0,1,2,1,2,0,4.13,8,Standard_D4s_v3
1,20.604107,221955,6,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,20.604107,221955,6,1,2,0,0,0,0,0,0,0,1,3,0,1,0,4.02,8,Standard_D4s_v3
0,20.604107,221955,6,1,1,2,1,1,1,1,0,0,2,3,1,2,0,4.05,8,Standard_D4s_v3
1,5.709366,47865,28,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,5.709366,47865,28,0,5,0,1,0,0,0,0,0,1,3,0,1,0,4.01,8,Standard_D4s_v3
0,5.709366,47865,28,0,1,0,0,0,0,0,0,0,2,3,1,0,0,4.01,8,Standard_D4s_v3
1,6.168449,40609,21,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3.0,8,Standard_D4s_v3
0,6.168449,40609,21,0,2,0,1,0,0,0,0,0,1,3,0,0,0,4.01,8,Standard_D4s_v3
0,6.168449,40609,21,0,1,0,0,1,0,0,0,0,2,3,1,1,0,4.01,8,Standard_D4s_v3
1,930.774711,5793965,9,2,0,0,0,0,0,0,0,0,0,3,0,0,4,6.0,8,Standard_D4s_v3
0,930.774711,5793965,9,2,3,0,0,0,0,0,0,0,1,3,0,4,0,5.22,8,Standard_D4s_v3
0,930.774711,5793965,9,2,5,2,0,0,1,1,0,0,2,3,1,4,0,6.66,32,Standard_D4s_v3
1,1308.979301,8787385,19,2,0,0,0,0,0,0,0,0,0,3,0,0,6,9.0,8,Standard_D4s_v3
0,1308.979301,8787385,19,2,3,0,0,0,0,0,0,0,1,3,0,4,0,5.34,8,Standard_D4s_v3
0,1308.979301,8787385,19,2,6,0,0,1,0,0,0,0,2,3,1,4,0,7.16,32,Standard_D4s_v3
1,2578.892184,16625892,27,2,0,0,0,0,0,0,0,0,0,2,0,0,8,12.0,8,Standard_D4s_v3
